terms,polarity
,
Judging,O
from,O
previous,O
posts,O
this,O
used,O
to,O
be,O
a,O
good,O
place,T-NEG
",",O
but,O
not,O
any,O
longer,O
.,O
,
We,O
",",O
there,O
were,O
four,O
of,O
us,O
",",O
arrived,O
at,O
noon,O
",",O
the,O
place,O
was,O
empty,O
",",O
and,O
the,O
staff,T-NEG
acted,O
like,O
we,O
were,O
imposing,O
on,O
them,O
and,O
they,O
were,O
very,O
rude,O
.,O
,
They,O
never,O
brought,O
us,O
complimentary,O
noodles,O
",",O
ignored,O
repeated,O
requests,O
for,O
sugar,O
",",O
and,O
threw,O
our,O
dishes,O
on,O
the,O
table,O
.,O
,
The,O
food,T-NEG
was,O
lousy,O
",",O
too,O
sweet,O
or,O
too,O
salty,O
and,O
the,O
portions,T-NEG
tiny,O
.,O
,
After,O
all,O
that,O
",",O
they,O
complained,O
to,O
me,O
about,O
the,O
small,O
tip,O
.,O
,
Avoid,O
this,O
place,T-NEG
!,O
,
I,O
have,O
eaten,O
at,O
Saul,O
",",O
many,O
times,O
",",O
the,O
food,T-POS
is,O
always,O
consistently,O
",",O
outrageously,O
good,O
.,O
,
Saul,T-POS
is,O
the,O
best,O
restaurant,O
on,O
Smith,O
Street,O
and,O
in,O
Brooklyn,O
.,O
,
The,O
wine,T-POS
list,T-POS
is,O
interesting,O
and,O
has,O
many,O
good,O
values,O
.,O
,
For,O
the,O
price,O
",",O
you,O
can,O
not,O
eat,O
this,O
well,O
in,O
Manhattan,O
.,O
,
I,O
was,O
very,O
disappointed,O
with,O
this,O
restaurant,T-NEG
.,O
,
Ive,O
asked,O
a,O
cart,T-NEG
attendant,T-NEG
for,O
a,O
lotus,O
leaf,O
wrapped,O
rice,O
and,O
she,O
replied,O
back,O
rice,O
and,O
just,O
walked,O
away,O
.,O
,
I,O
had,O
to,O
ask,O
her,O
three,O
times,O
before,O
she,O
finally,O
came,O
back,O
with,O
the,O
dish,O
Ive,O
requested,O
.,O
,
Food,T-NEU
was,O
okay,O
",",O
nothing,O
great,O
.,O
,
Chow,T-NEG
fun,T-NEG
was,O
dry,O
;,O
pork,T-NEG
shu,T-NEG
mai,T-NEG
was,O
more,O
than,O
usually,O
greasy,O
and,O
had,O
to,O
share,O
a,O
table,O
with,O
loud,O
and,O
rude,O
family,O
.,O
,
Went,O
on,O
a,O
3,O
day,O
oyster,O
binge,O
",",O
with,O
Fish,T-POS
bringing,O
up,O
the,O
closing,O
",",O
and,O
I,O
am,O
so,O
glad,O
this,O
was,O
the,O
place,O
it,O
O,O
trip,O
ended,O
",",O
because,O
it,O
was,O
so,O
great,O
!,O
,
Service,T-POS
was,O
devine,O
",",O
oysters,T-POS
where,O
a,O
sensual,O
as,O
they,O
come,O
",",O
and,O
the,O
price,O
ca,O
n't,O
be,O
beat,O
!,O
!,O
!,O
,
You,O
ca,O
n't,O
go,O
wrong,O
here,O
.,O
,
Every,O
time,O
in,O
New,O
York,O
I,O
make,O
it,O
a,O
point,O
to,O
visit,O
Restaurant,T-POS
Saul,T-POS
on,O
Smith,O
Street,O
.,O
,
Everything,O
is,O
always,O
cooked,O
to,O
perfection,O
",",O
the,O
service,T-POS
is,O
excellent,O
",",O
the,O
decor,T-POS
cool,O
and,O
understated,O
.,O
,
I,O
had,O
the,O
duck,T-POS
breast,T-POS
special,T-POS
on,O
my,O
last,O
visit,O
and,O
it,O
was,O
incredible,O
.,O
,
I,O
had,O
my,O
eyes,O
on,O
this,O
place,O
",",O
promising,O
myself,O
I,O
will,O
one,O
day,O
give,O
it,O
a,O
try,O
',O
.,O
,
And,O
I,O
hate,O
to,O
say,O
this,O
but,O
I,O
doubt,O
I,O
'll,O
ever,O
go,O
back,O
.,O
,
The,O
food,T-NEG
is,O
very,O
averagethe,O
Thai,T-NEG
fusion,T-NEG
stuff,T-NEG
is,O
a,O
bit,O
too,O
sweet,O
",",O
every,O
thing,O
they,O
serve,O
is,O
too,O
sweet,O
here,O
.,O
,
The,O
only,O
thing,O
I,O
moderately,O
enjoyed,O
was,O
their,O
Grilled,T-POS
Chicken,T-POS
special,T-POS
with,T-POS
Edamame,T-POS
Puree,T-POS
.,O
,
I,O
had,O
never,O
had,O
Edamame,T-POS
pureed,T-POS
before,O
but,O
I,O
thought,O
it,O
was,O
innovative,O
and,O
tasty,O
could,O
've,O
used,O
a,O
bit,O
more,O
salt,O
.,O
,
The,O
decor,T-POS
is,O
night,O
thobut,O
they,O
REALLY,O
need,O
to,O
clean,O
that,O
vent,T-NEG
in,O
the,O
ceilingits,O
quite,O
un-appetizing,O
",",O
and,O
kills,O
your,O
effort,O
to,O
make,O
this,O
place,T-NEG
look,O
sleek,O
and,O
modern,O
.,O
,
What,O
's,O
the,O
difference,O
between,O
the,O
two,O
?,O
,
Their,O
sake,T-POS
list,T-POS
was,O
extensive,O
",",O
but,O
we,O
were,O
looking,O
for,O
Purple,O
Haze,O
",",O
which,O
was,O
n't,O
listed,O
but,O
made,O
for,O
us,O
upon,O
request,O
!,O
,
The,O
spicy,T-POS
tuna,T-POS
roll,T-POS
was,O
unusually,O
good,O
and,O
the,O
rock,T-POS
shrimp,T-POS
tempura,T-POS
was,O
awesome,O
",",O
great,O
appetizer,O
to,O
share,O
!,O
,
We,O
went,O
around,O
9,O
",",O
30,O
on,O
a,O
Friday,O
and,O
it,O
had,O
died,O
down,O
a,O
bit,O
by,O
then,O
so,O
the,O
service,T-POS
was,O
great,O
!,O
,
we,O
love,O
th,O
pink,T-POS
pony,T-POS
.,O
,
THe,O
perfect,O
spot,T-POS
.,O
,
Food,T-POS
.,O
,
Service,T-POS
friendly,O
and,O
attentive,O
.,O
,
Ambiance,T-POS
relaxed,O
and,O
stylish,O
.,O
,
Do,O
n't,O
judge,O
this,O
place,T-POS
prima,O
facie,O
",",O
you,O
have,O
to,O
try,O
it,O
to,O
believe,O
it,O
",",O
a,O
home,O
away,O
from,O
home,O
for,O
the,O
literate,O
heart,O
.,O
,
i,O
have,O
eaten,O
here,O
a,O
handful,O
of,O
times,O
",",O
for,O
no,O
reason,O
besides,O
sheer,O
convenience,O
.,O
,
i,O
hang,O
out,O
",",O
and,O
live,O
",",O
in,O
the,O
neighborhood,O
.,O
,
the,O
food,T-NEU
is,O
decent,O
.,O
,
i,O
happen,O
to,O
have,O
a,O
policy,O
that,O
goes,O
along,O
with,O
a,O
little,O
bit,O
of,O
self-respect,O
",",O
which,O
includes,O
not,O
letting,O
a,O
waiter,T-NEG
intimidate,O
me,O
",",O
ie,O
make,O
me,O
feel,O
bad,O
asking,O
for,O
trivialities,O
like,O
water,O
",",O
or,O
the,O
check,O
.,O
,
i,O
know,O
",",O
you,O
were,O
too,O
busy,O
showing,O
off,O
your,O
vintage,O
tee,O
shirt,O
and,O
looking,O
bored,O
",",O
but,O
my,O
agenda,O
is,O
i,O
'm,O
here,O
to,O
eat,O
and,O
enjoy,O
the,O
company,O
of,O
friends,O
",",O
seeking,O
a,O
